time_sec	time_nanosec	q_grav_0	q_grav_1	q_grav_2	q_grav_3
1612524851	654552106	11.2303	17.4364	-33.5132	152.011
1612524851	664868749	10.8962	17.0466	-35.1613	154.674
1612524851	674826600	11.587	17.5506	-33.6796	151.818
1612524851	684785845	11.3878	17.1965	-35.4651	154.412
1612524851	694861654	12.1975	17.8326	-34.1337	151.458
1612524851	704878636	12.0831	17.604	-36.0213	153.961
1612524851	714659237	13.0144	18.3887	-34.6778	150.757
1612524851	724665912	12.809	18.1438	-35.8029	152.476
1612524851	734687018	13.882	19.0992	-35.2856	150.059
1612524851	744560654	13.9379	18.968	-37.0435	152.11
1612524851	754569323	14.8448	19.8026	-36.0261	149.2
1612524851	764544497	14.8032	19.6389	-38.0272	151.531
1612524851	774606938	15.7812	20.7069	-36.8	148.092
1612524851	784756376	15.5564	20.6637	-38.8916	150.669
1612524851	794750826	16.5231	21.7967	-37.4565	147.001
1612524851	804717391	16.1838	21.6421	-39.6023	149.89
1612524851	814740485	17.1016	22.5499	-38.1697	146.472
1612524851	824704806	16.6903	22.1672	-40.2309	149.563
1612524851	834659689	17.4977	22.768	-38.729	146.477
1612524851	844873862	17.0478	22.2477	-40.46	149.395
1612524851	854883027	17.7118	22.6441	-38.9034	146.586
1612524851	864893216	17.1489	22.0144	-40.4034	149.477
1612524851	874913272	17.6569	22.2609	-38.7595	146.879
1612524851	884626620	16.9182	21.4677	-40.211	150.06
1612524851	894577598	17.2914	21.5758	-38.4746	147.638
1612524851	904571666	16.4587	20.6546	-39.8868	150.984
1612524851	914550945	16.7515	20.7127	-38.129	148.658
1612524851	924738503	15.9182	19.8121	-39.4603	151.874
1612524851	934968140	16.1974	19.9948	-37.6773	149.412
1612524851	944913002	15.387	19.2334	-39.0015	152.456
1612524851	954589023	15.7122	19.6177	-37.1898	149.73
1612524851	964603775	14.9379	18.9746	-38.6409	152.755
1612524851	974547134	15.3471	19.5097	-36.8787	149.846
1612524851	984866177	14.9509	19.1307	-37.9049	151.744
1612524851	994516585	14.6851	19.135	-37.9517	152.111
1612524852	4533013	14.9682	20.0264	-36.7975	149.556
1612524852	14578619	14.7655	20.5789	-36.8719	149.243
1612524852	24669137	14.8344	21.4412	-35.7748	147.171
1612524852	34640940	14.0167	21.0761	-36.6013	149.328
1612524852	44753780	13.9126	21.0786	-35.3923	148.087
1612524852	54847179	13.1171	20.2006	-36.7105	151.073
1612524852	64838442	13.3733	20.4615	-35.1448	148.651
1612524852	74839022	12.6207	19.7807	-36.6886	151.698
1612524852	84758895	12.9969	20.3022	-34.8348	148.756
1612524852	94730363	12.3022	19.7975	-36.3828	151.766
1612524852	104848830	12.7879	20.235	-34.5694	148.848
1612524852	114653938	12.1937	19.5676	-36.4017	152.201
1612524852	124581432	12.7534	19.8026	-34.7691	149.554
1612524852	134718652	12.244	18.9869	-36.745	153.095
1612524852	144699706	12.8559	19.1521	-35.2494	150.606
1612524852	154665204	12.4792	18.4091	-37.1623	153.875
1612524852	164761225	13.1983	18.7465	-35.7072	151.175
1612524852	174697401	12.9772	18.2723	-37.5168	153.943
1612524852	184546792	13.2909	18.4371	-37.1304	153.127
1612524852	194509287	14.3149	19.2948	-36.5656	150.489
1612524852	204523883	14.6291	19.9513	-37.0052	150.071
1612524852	214591838	15.1891	20.9179	-36.0205	147.696
1612524852	224642514	14.8631	20.6151	-37.1175	149.751
1612524852	234669606	15.169	20.6426	-36.2079	148.519
1612524852	244515908	15.1409	20.3331	-36.6305	149.305
1612524852	254578570	15.2435	20.0645	-36.9646	149.476
1612524852	264569168	14.9059	19.8813	-37.7838	150.756
1612524852	274658154	14.9714	20.498	-36.5192	148.748
1612524852	284538931	14.1698	20.122	-37.1545	150.742
1612524852	294572803	14.2638	20.4782	-35.3503	148.341
1612524852	304526767	13.4014	19.6109	-36.8392	151.612
1612524852	314564782	13.6745	19.8695	-35.2126	149.145
1612524852	324605411	12.854	19.0676	-36.9648	152.624
1612524852	334639140	13.2919	19.5663	-35.1393	149.631
1612524852	344944624	12.6401	19.0705	-36.8179	152.696
1612524852	354589125	13.2191	19.6499	-35.0336	149.56
1612524852	364581750	12.7032	19.1549	-36.8393	152.642
1612524852	374547661	13.3589	19.6061	-35.2418	149.74
1612524852	384640130	12.9339	18.9871	-37.2002	152.993
1612524852	394607167	13.6498	19.3564	-35.7525	150.262
1612524852	404750189	13.341	18.7506	-37.7249	153.384
1612524852	414888543	14.1584	19.2462	-36.3275	150.497
1612524852	424865080	13.9766	18.8444	-38.2259	153.24
1612524852	434573991	14.8985	19.5351	-36.7943	150.059
1612524852	444594912	14.7746	19.2705	-38.6806	152.619
1612524852	454568441	15.7426	20.0301	-37.2939	149.382
1612524852	464526121	15.6169	19.7635	-39.2067	151.948
1612524852	474581737	16.5661	20.5188	-37.8979	148.796
1612524852	484565164	16.3803	20.252	-39.7412	151.32
1612524852	494727100	17.2549	21.0142	-38.409	148.201
1612524852	504600514	16.9839	20.7318	-39.4681	149.921
1612524852	514869142	17.5793	21.5595	-38.6116	147.683
1612524852	524608692	17.1739	21.4066	-39.5973	149.373
1612524852	534582931	17.5402	22.0161	-38.1985	146.79
1612524852	544566919	16.8343	21.6668	-39.3924	149.08
1612524852	554590475	17.1416	22.3258	-37.7016	146.162
1612524852	564574879	16.1223	21.7484	-39.3498	149.489
1612524852	574600051	16.4203	22.4027	-37.4951	146.436
1612524852	584602120	15.3713	21.7452	-39.2704	150.05
1612524852	594612687	15.712	22.2542	-37.4097	147.084
1612524852	604640101	14.7678	21.5444	-39.1176	150.615
1612524852	614741109	15.1571	21.8765	-37.2446	147.768
1612524852	624713286	14.3371	21.1218	-38.8478	151.157
1612524852	634657485	14.7727	21.3159	-36.9735	148.42
1612524852	644774582	14.0515	20.4875	-38.5529	151.791
1612524852	654581023	14.525	20.5656	-36.7309	149.202
1612524852	664596093	13.9153	19.6872	-38.3216	152.525
1612524852	674581053	14.4459	19.756	-36.6167	150.017
1612524852	684599943	13.9664	18.9429	-38.2241	153.153
1612524852	694622641	14.5871	19.1787	-36.5933	150.49
1612524852	704704429	14.2181	18.5417	-38.255	153.404
1612524852	714631859	14.938	19.0104	-36.6843	150.501
1612524852	724729064	14.6511	18.5449	-38.4267	153.241
1612524852	734587722	15.4491	19.2045	-36.9583	150.179
1612524852	744749720	15.2065	18.8677	-38.774	152.794
1612524852	754584783	16.05	19.6886	-37.3932	149.605
1612524852	764611020	15.7869	19.3976	-38.4753	151.345
1612524852	774937432	16.5417	20.4992	-37.7494	148.792
1612524852	784849038	16.2645	20.5343	-38.9907	150.427
1612524852	794859386	16.8426	21.4832	-37.629	147.352
1612524852	804627453	16.3048	21.3407	-39.1245	149.6
1612524852	814579918	16.8441	22.2546	-37.5696	146.352
1612524852	824735216	16.0339	21.878	-39.458	149.542
1612524852	834746276	16.5511	22.7138	-37.769	146.269
1612524852	844925630	15.7094	22.256	-39.6412	149.605
1612524852	854871560	16.2223	22.8971	-37.8715	146.447
1612524852	864886890	15.4348	22.3453	-39.5804	149.696
1612524852	874911759	15.941	22.7585	-37.7385	146.705
1612524852	884645062	15.1991	22.0499	-39.3615	150.004
1612524852	894567403	15.6971	22.2478	-37.5042	147.232
1612524852	904574047	14.9915	21.361	-39.1369	150.697
1612524852	914572137	15.4847	21.382	-37.321	148.16
1612524852	924605437	14.8445	20.3889	-38.9494	151.66
1612524852	934567516	15.345	20.3393	-37.2374	149.297
1612524852	944552979	14.7921	19.3823	-38.8077	152.602
1612524852	954555580	15.3276	19.4721	-37.1522	150.142
1612524852	964596223	14.858	18.7124	-38.6826	153.125
1612524852	974616624	15.455	19.0719	-37.054	150.388
1612524852	984558857	15.0401	18.5181	-38.6507	153.168
1612524852	994609661	15.3996	18.8922	-37.5987	151.293
1612524853	4592386	15.5554	19.0734	-38.1907	151.558
1612524853	14562997	15.9896	20.1236	-36.9516	148.75
1612524853	24600528	15.8882	20.1139	-37.2935	149.215
1612524853	34592213	15.4569	20.8333	-36.8803	148.765
1612524853	44597952	15.1284	20.6221	-36.7228	149.085
1612524853	54614610	14.8662	20.5692	-36.6142	149.247
1612524853	64565447	14.6944	20.7645	-36.3155	148.436
1612524853	74970482	14.0254	20.8165	-36.8903	149.549
1612524853	84551579	13.7971	21.339	-35.5533	147.86
1612524853	94607374	12.7153	20.6671	-36.1324	150.358
1612524853	104559612	12.4777	20.483	-34.3982	148.904
1612524853	114519929	11.6698	19.4118	-35.4536	151.793
1612524853	124618078	11.8138	19.4638	-33.8316	149.646
1612524853	134612558	11.0944	18.6909	-35.2569	152.62
1612524853	144562959	11.3879	19.1166	-33.3571	149.848
1612524853	154642089	10.741	18.5761	-34.6771	152.656
1612524853	164602357	11.1312	18.7842	-32.9164	150.135
1612524853	174757273	10.6177	17.9954	-34.6522	153.426
1612524853	184608515	11.1351	18.0387	-33.1656	151.151
1612524853	194531461	10.7653	17.2247	-35.0175	154.419
1612524853	204567507	11.4051	17.4218	-33.601	151.97
1612524853	214605998	11.18	16.8748	-35.3868	154.819
1612524853	224789604	11.9545	17.3171	-33.9363	152.008
1612524853	234581743	11.8611	16.9657	-35.7365	154.569
1612524853	244914947	12.7619	17.57	-34.399	151.599
1612524853	254622776	12.7773	17.3109	-36.298	154.034
1612524853	264618565	13.7869	18.0664	-35.0744	150.925
1612524853	274700158	13.8402	17.8873	-37.0694	153.332
1612524853	284690363	14.3347	18.2567	-36.8883	152.365
1612524853	294522520	15.4472	19.1731	-36.897	150.123
1612524853	304574079	15.8312	19.97	-37.5603	149.658
1612524853	314618169	16.4093	21.0713	-37.0508	147.566
1612524853	324571597	16.1423	21.0902	-38.0645	149.108
1612524853	334602863	16.4371	21.4176	-37.2516	147.666
1612524853	344569000	16.144	21.038	-38.3676	149.41
1612524853	354846135	16.4674	21.6294	-37.2727	147.105
1612524853	364561035	15.8148	21.3375	-38.6307	149.345
1612524853	374607434	15.9681	22.098	-37.0024	146.692
1612524853	384585968	14.8867	21.409	-38.2985	149.954
1612524853	394761588	14.9903	21.5972	-36.4689	147.646
1612524853	404572190	14.0923	20.6422	-37.9459	151.047
1612524853	414593706	14.339	20.7396	-36.2775	148.714
1612524853	424633136	13.496	19.8427	-37.9038	152.185
1612524853	434626001	13.888	20.1686	-36.0165	149.343
1612524853	444755806	13.1705	19.5171	-37.6711	152.602
1612524853	454662815	13.705	19.9686	-35.811	149.564
1612524853	464570231	13.1434	19.3692	-37.5709	152.753
1612524853	474602629	13.7695	19.7287	-35.9118	149.915
1612524853	484621663	13.3322	19.06	-37.7886	153.144
1612524853	494627474	14.0394	19.4162	-36.2979	150.396
1612524853	504563824	13.7459	18.8742	-38.1047	153.278
1612524853	514629343	14.5543	19.4135	-36.6291	150.291
1612524853	524943649	14.3483	19.0572	-38.4134	152.906
1612524853	534571949	15.2358	19.7463	-36.934	149.717
1612524853	544623999	14.9889	19.4606	-38.0285	151.479
1612524853	554595676	15.8808	20.2603	-37.2966	149.143
1612524853	564746083	15.7507	20.1384	-38.6666	150.955
1612524853	574613632	16.4485	20.9304	-37.3901	148.023
1612524853	584744984	16.1054	20.7356	-38.9546	150.229
1612524853	594617719	16.7823	21.6369	-37.4805	146.978
1612524853	604627019	16.1652	21.3205	-39.3775	149.962
1612524853	614610449	16.8018	22.1888	-37.7725	146.66
1612524853	624572482	16.0977	21.757	-39.7089	149.919
1612524853	634564354	16.7007	22.4201	-38.0633	146.798
1612524853	644752318	15.9943	21.8518	-39.8579	150.071
1612524853	654630598	16.5459	22.2663	-38.132	147.167
1612524853	664609283	15.867	21.5774	-39.7246	150.336
1612524853	674759976	16.3652	21.8145	-37.9826	147.644
1612524853	684652831	15.6893	21.0268	-39.4831	150.809
1612524853	694922100	16.1424	21.1608	-37.757	148.282
1612524853	704698750	15.4405	20.2971	-39.2651	151.561
1612524853	714754253	15.8742	20.4164	-37.5222	149.064
1612524853	724729434	15.1984	19.5685	-39.0295	152.301
1612524853	734642411	15.6522	19.7731	-37.3114	149.735
1612524853	744584959	15.049	19.0365	-38.8159	152.769
1612524853	754902751	15.5555	19.4242	-37.1535	150.03
1612524853	764860310	15.0123	18.8556	-38.7045	152.875
1612524853	774868157	15.5875	19.4566	-37.0801	149.901
1612524853	784888372	15.0754	19.0281	-38.7325	152.678
1612524853	794636850	15.7146	19.7727	-37.154	149.543
1612524853	804645737	15.3785	19.4487	-38.2212	151.372
1612524853	814692385	15.8145	20.3322	-37.262	149.073
1612524853	824577909	15.3848	20.2284	-38.4556	150.932
1612524853	834684144	15.867	21.0785	-36.9839	147.919
1612524853	844624617	15.2653	20.8383	-38.4877	150.339
1612524853	854618455	15.7881	21.6952	-36.8529	147.081
1612524853	864586354	15.0159	21.3072	-38.7251	150.255
1612524853	874531526	15.5723	22.1187	-37	146.937
1612524853	884624495	14.8302	21.6622	-38.9529	150.276
1612524853	894601764	15.4375	22.3099	-37.2486	147.09
1612524853	904594942	14.7833	21.7718	-39.1387	150.392
1612524853	914739472	15.4201	22.2336	-37.4166	147.355
1612524853	924658530	14.8444	21.6136	-39.1692	150.557
1612524853	934643941	15.4909	21.9035	-37.4236	147.677
1612524853	944550517	14.9595	21.1482	-39.1303	150.944
1612524853	954612848	15.5993	21.2739	-37.4112	148.277
1612524853	964635885	15.1398	20.4242	-39.0697	151.494
1612524853	975079461	15.7661	20.5012	-37.4949	149.028
