time_sec	time_nanosec	ang_ots_0	ang_ots_1	ang_ots_2	ang_ots_3	ang_ots_4	ang_ots_5
1614784201	472674442	113.05	69.616	62.2768	43.4337	50.7729	7.33922
1614784201	482763688	113.05	69.6168	62.2774	43.4329	50.7723	7.3394
1614784201	492814116	113.051	69.6168	62.2769	43.4342	50.7741	7.33987
1614784201	502641544	113.051	69.619	62.2788	43.4324	50.7726	7.34014
1614784201	512717579	113.049	69.6164	62.277	43.4324	50.7718	7.33935
1614784201	522816781	113.051	69.6195	62.2795	43.4314	50.7714	7.34
1614784201	532674389	113.05	69.6193	62.2792	43.4309	50.771	7.34014
1614784201	542674063	113.053	69.6207	62.2806	43.4326	50.7728	7.34013
1614784201	552761597	113.051	69.6184	62.2787	43.4326	50.7724	7.33977
1614784201	562828423	113.049	69.6169	62.2772	43.4324	50.772	7.33967
1614784201	572816418	113.052	69.6188	62.2789	43.4334	50.7733	7.33992
1614784201	582933231	113.049	69.6184	62.2786	43.4309	50.7707	7.33981
1614784201	592806783	113.051	69.6167	62.277	43.4342	50.7739	7.33967
1614784201	602696204	113.05	69.6178	62.2779	43.4322	50.7721	7.33993
1614784201	612693832	113.052	69.6174	62.2779	43.4345	50.774	7.33948
1614784201	622873525	113.051	69.6194	62.2793	43.432	50.7721	7.34011
1614784201	632784349	113.051	69.6182	62.2784	43.4326	50.7725	7.33986
1614784201	642627327	113.051	69.6185	62.2787	43.4321	50.7719	7.33981
1614784201	652806110	113.051	69.6184	62.2784	43.4326	50.7726	7.33997
1614784201	662732817	113.051	69.6191	62.279	43.4316	50.7717	7.34007
1614784201	672774394	113.05	69.6181	62.278	43.4321	50.7721	7.34002
1614784201	682805677	113.05	69.6191	62.2792	43.4312	50.771	7.33983
1614784201	692800988	113.05	69.6187	62.2786	43.4309	50.7709	7.34004
1614784201	702762901	113.05	69.6177	62.2782	43.4323	50.7719	7.33955
1614784201	712880595	113.049	69.6164	62.2769	43.4323	50.7717	7.33941
1614784201	722681239	113.051	69.6164	62.2772	43.4348	50.7741	7.33926
1614784201	732692417	113.052	69.6173	62.2774	43.4345	50.7744	7.33993
1614784201	742846224	113.052	69.6169	62.2774	43.4348	50.7743	7.33952
1614784201	752746056	113.053	69.6204	62.2804	43.4324	50.7724	7.34003
1614784201	762757546	113.051	69.6191	62.2792	43.4323	50.7722	7.33991
1614784201	772808165	113.054	69.619	62.2792	43.4345	50.7744	7.33984
1614784201	782739450	113.048	69.6167	62.2772	43.4313	50.7707	7.33943
1614784201	792732140	113.053	69.6187	62.279	43.4341	50.7739	7.33975
1614784201	803248011	113.049	69.6163	62.277	43.4328	50.7721	7.33929
1614784201	813185773	113.053	69.6194	62.2795	43.4333	50.7732	7.33987
1614784201	823019834	113.052	69.6179	62.2781	43.4341	50.7739	7.3398
1614784201	832775222	113.05	69.6178	62.2779	43.4325	50.7725	7.33994
1614784201	843139596	113.049	69.6319	62.2893	43.4174	50.76	7.34259
1614784201	852712294	113.052	69.6319	62.2892	43.42	50.7627	7.3427
1614784201	862843976	113.054	69.6312	62.2885	43.4224	50.7651	7.3427
1614784201	873218431	113.05	69.6302	62.2879	43.4201	50.7623	7.34226
1614784201	883330991	113.049	69.6268	62.2854	43.4221	50.7636	7.34142
1614784201	892943802	113.051	69.6296	62.2871	43.4219	50.7643	7.34242
1614784201	902794826	113.051	69.6272	62.2855	43.424	50.7657	7.34167
1614784201	912794415	113.051	69.6274	62.2858	43.4233	50.7649	7.34161
1614784201	922843989	113.05	69.6252	62.2837	43.4253	50.7667	7.34149
1614784201	932616790	113.052	69.6281	62.2861	43.4236	50.7655	7.34196
1614784201	942829953	113.051	69.6263	62.2846	43.4243	50.766	7.34173
1614784201	952969172	113.051	69.6263	62.2846	43.425	50.7667	7.34167
1614784201	962754435	113.052	69.6211	62.2811	43.4309	50.771	7.34003
1614784201	973170449	113.049	69.6241	62.2829	43.4247	50.7658	7.34119
1614784201	982816991	113.053	69.6252	62.2839	43.4278	50.7691	7.34126
1614784201	992744980	113.052	69.624	62.283	43.4275	50.7685	7.34101
1614784202	2711290	113.053	69.6265	62.2847	43.4268	50.7686	7.34181
1614784202	12719888	113.053	69.6229	62.2818	43.4297	50.7707	7.34104
1614784202	22898689	113.051	69.6245	62.2832	43.4268	50.7681	7.34127
1614784202	32714043	113.05	69.6243	62.2833	43.4258	50.7668	7.34106
1614784202	43152299	113.051	69.6241	62.2832	43.4271	50.768	7.34086
1614784202	52765312	113.053	69.6243	62.2833	43.4285	50.7695	7.34097
1614784202	62782227	113.052	69.6249	62.284	43.4272	50.7682	7.34093
1614784202	72713682	113.049	69.6251	62.2837	43.4239	50.7654	7.34142
1614784202	82748451	113.053	69.6255	62.2839	43.4277	50.7694	7.34168
1614784202	92908743	113.051	69.6236	62.2829	43.4273	50.7679	7.34065
1614784202	102674689	113.05	69.6251	62.2839	43.4245	50.7656	7.34116
1614784202	112798231	113.051	69.6232	62.2827	43.4274	50.7679	7.34048
1614784202	122844322	113.05	69.624	62.2831	43.4258	50.7667	7.34085
1614784202	132703322	113.053	69.6252	62.2838	43.428	50.7693	7.34132
1614784202	142780301	113.051	69.6243	62.2831	43.4264	50.7677	7.34121
1614784202	152666769	113.048	69.6233	62.2827	43.4248	50.7655	7.34062
1614784202	162706344	113.055	69.6224	62.2815	43.4325	50.7734	7.34093
1614784202	172882413	113.05	69.6208	62.2809	43.4291	50.769	7.3399
1614784202	182266287	113.05	69.6208	62.2809	43.4291	50.769	7.3399
1614784202	192686068	113.051	69.627	62.2856	43.424	50.7653	7.34137
1614784202	202852662	113.052	69.6253	62.2839	43.4267	50.7681	7.34134
1614784202	212800490	113.052	69.624	62.2831	43.4281	50.769	7.34092
1614784202	222696179	113.052	69.6244	62.2835	43.4272	50.768	7.34081
1614784202	232742967	113.051	69.6273	62.2858	43.424	50.7655	7.34154
