time_sec	time_nanosec	jac_det
1616424698	244895054	0.0232363
1616424698	254929635	0.0232101
1616424698	266723509	0.0231894
1616424698	276938258	0.0231677
1616424698	284953145	0.0231388
1616424698	294979229	0.0231072
1616424698	304961612	0.0230351
1616424698	314903560	0.0230121
1616424698	324760946	0.0229929
1616424698	337041912	0.0229715
1616424698	344807109	0.0229542
1616424698	354874937	0.0229226
1616424698	364840197	0.0229224
1616424698	374975932	0.022925
1616424698	384970844	0.022929
1616424698	394910618	0.0229373
1616424698	404868003	0.0229533
1616424698	414898231	0.0229608
1616424698	424812190	0.022966
1616424698	434872086	0.022986
1616424698	445097566	0.0230034
1616424698	454788484	0.0230074
1616424698	464791826	0.0229978
1616424698	475011650	0.0229915
1616424698	484830140	0.0229927
1616424698	494963918	0.0229802
1616424698	504857187	0.0229517
1616424698	514907827	0.0229221
1616424698	524904556	0.0228939
1616424698	534868655	0.0228594
1616424698	545011182	0.022842
1616424698	555039522	0.0228001
1616424698	564896865	0.0227765
1616424698	574833737	0.0227513
1616424698	584928312	0.0227372
1616424698	594931245	0.0227231
1616424698	604799520	0.0227039
1616424698	616773363	0.0227006
1616424698	624909865	0.0226939
1616424698	634793416	0.0226949
1616424698	646853157	0.022699
1616424698	657365131	0.0227296
1616424698	664815376	0.0227451
1616424698	674962212	0.0227621
1616424698	684777767	0.0227668
1616424698	694977551	0.0227765
1616424698	704776287	0.0228082
1616424698	714761452	0.0228115
1616424698	724946266	0.022799
1616424698	734847174	0.022773
1616424698	744951521	0.022755
1616424698	754845436	0.0227166
1616424698	764979097	0.0226943
1616424698	777034781	0.0226813
1616424698	784943717	0.0226623
1616424698	794886445	0.0226427
1616424698	804936211	0.0225889
1616424698	814909299	0.0225716
1616424698	824787348	0.0225502
1616424698	834915724	0.0225267
1616424698	847043846	0.0224988
1616424698	854960684	0.0224377
1616424698	864895249	0.0224092
1616424698	874969501	0.0224019
1616424698	884830837	0.0223915
1616424698	895144252	0.0223829
1616424698	906898252	0.0223677
1616424698	914832556	0.0223661
1616424698	925126719	0.0223654
1616424698	934850263	0.0223703
1616424698	947052610	0.0223864
1616424698	954660679	0.0224009
1616424698	964824078	0.022418
1616424698	974963588	0.0224323
1616424698	984815780	0.0224473
1616424698	994971281	0.0224737
1616424699	4870982	0.0224901
1616424699	14829315	0.0224901
1616424699	25135163	0.0224815
1616424699	34817690	0.0224763
